Test case #1
54
132094667 107893917
183050591 635086474
606848034 227327364
160275215 379310101
175836156 105969539
878015677 320841906
662670353 960316494
290454121 212628151
291009035 316520465
976687503 64837914
492432446 285356019
958040782 494140828
789027648 355795701
689242276 35808116
787788587 117035958
799265674 548090433
208766911 127643874
232664234 589907561
123007393 99401567
881484465 1807343
964325747 136282483
692777939 545024109
516747931 482446621
516855846 932656874
822331733 284802572
949315736 500728987
488879483 125156991
882004396 811466128
387471014 454386512
940755865 502411827
532344686 508106471
713210264 17270485
718247861 140209914
321527801 135947844
846064894 4755883
112156457 256050283
153435578 212199844
938990222 414007038
946792690 106772878
794840191 46641122
368071737 833899591
271508950 741342057
465212413 388465808
921043382 875132015
351245857 142520580
867744606 59667440
9716665 228446839
576076997 660796009
528720223 101042401
843117771 106186344
805665473 513662883
592495599 590191137
810690540 139554045
653555745 60864880
49455451 542196516
308247390 758632321
348516825 302510947
461182952 710821435
676833812 68648281
339524966 585205324
132305596 883560216
772749059 410491504
82288822 679303264
967934150 902996293
690094830 513574211
589783436 300089003
881358808 134529895
554877191 629617406
336828197 312115586
3339159 935905009
10723976 118802976
761431634 877036952
780780510 238436535
262362901 671771909
205040426 551291903
788735176 622738138
517181458 403705378
429080257 918641932
838460398 580098946
935353189 917417784
697383815 718695706
172538092 777007192
960189424 726279858
608919979 251278582
726289115 131353224
852327793 388510511
598161610 116596338
1204668 921549007
546471509 163851196
540470964 481263714
595881422 371998531
516175098 845239631
83949422 125587514
151078342 339739143
69814106 842425130
212562570 727649607
696811833 23528509
692491286 720837254
234828422 604558934
848462572 237813748
59238871 43392058
690831857 155221295
408881603 399553228
399807918 583029223
236673435 836169168
218024007 374263093
301961203 599862298
800838312 257719361
65674451 666596868
524302092 482029256
208700541 826005008
823518092 189098998
436439147 235971016
218416762 613250901
727604456 638064558
129776844 839249325
341057008 811878388
88443455 785442779
300243028 559354746
744402536 86611574
570699028 525601216
433803805 459415610
422606960 268874686
702031891 777506319
172102107 864361514
340907975 464440469
228176326 645454157
74534943 751717421
754691988 389208779
655929454 450940837
516189752 919945417
999722634 389897880
688157375 730693621
884996054 2886724
169844382 867009541
766516574 507176016
915286333 914883289
895202286 765282560
102133948 990197624
793764756 366273924
338492763 234511262
3913069 877700396
644634739 874013721
316551889 816798884
524235185 483488583
213809508 56916011
981637785 480990028
135209785 634598328
724462959 692966292
816199328 72243453
195542150 903700175
69535039 20537215
636728213 524928852
468174928 372114215
483703493 586873617
763888051 146628640
771594647 338288497
667127134 369077550
19874779 346176157
298648461 515641863
562691734 675410294
595909612 87991451
30648829 473586230
475858723 471325857
597529208 158936943
555279354 140527619
854876225 118230722
887877317 199320936
636255223 41559789
412296232 955327944
384916643 896126277
581813403 224861811
577936284 884380660
213853781 789589609
36887424 290389847
661217477 423701272
867947641 874024838
843717109 202328894
505110050 212576330
853665180 100062531
64011821 706232805
994626641 632094661
116867229 481747524
407130814 659354460
317335509 129654030
617393377 546687841
775140272 171202345
563882942 884244839
243900989 476543983
960490850 542463862
822673278 695126212
404639934 104401972
909674263 24824979
113408066 392864301
635066608 340902425
74266196 481297709
154479156 729509754
990297030 383956447
803803096 745988869
24461937 614770139
362696487 912985886
214672364 300890062
999216334 97445762
59853969 345093172
559486872 128910483
471890178 726002717
294257274 607618496
140421301 316361947
477569530 44729351
444791610 652818276
81938585 868736676
257698012 714079155
836380421 201335487
390032945 564253867
882631688 972862660
948186717 701453045
362135040 144326355
456994855 976705522
847688094 570395307
903432273 85418042
247966514 378422649
376417961 190237944
569755773 386393237
446199372 383614008
340274535 825755805
460341716 28083321
674298349 95798298
243633561 368645041
517020914 422296623
170638129 900710730
674151224 976540908
17596871 691430079
671412023 643853598
426175453 379449368
865574654 807439316
683930624 911370618
119590590 448283578
434880334 119017111
939058503 574577434
559028413 209947065
977562442 465437006
293251089 367221563
117404868 41645238
329377700 349463001
18499250 308564391
989952141 22571466
559922491 187791298
286115025 665262141
543817269 833076433
229397110 98986398
735256338 700940744
58001160 366430532
968748326 618543665
794784447 629132859
863694875 275851481
63009472 853191730
122497535 291709702
362107173 809608273
280973439 958686295
868012403 752415300
902087584 575167217
713145727 316619684
13854786 116791888
586596765 847026646
739787168 512145664
701146952 149756026
656625039 654510813
154443283 627320078
937995069 890207492
623708737 295465373
251904571 727947925
164049639 54765770
623785780 775149831
775432421 263470167
161143061 404357996
467641547 988131557
392130620 571836089
801191952 958322424
853905219 631428748
612122318 941309629
222862842 490877941
109363901 980326616
41788936 87898148
794840540 811923797
990591781 763939208
423887617 361737998
215048770 132119161
658320073 620629026
313177969 348670579
813971725 74669780
521337029 768137248
244953280 525739335
449208587 439013820
982130857 41851380
506156119 841567583
551657737 785487345
567704391 987892475
330792905 907290254
39751179 59335011
174215558 321086249
393339939 660337739
285746073 869609135
753349782 680696189
630672673 329583292
841894676 206908152
422090679 795806939
87730187 272597125
596755198 468138993
869375379 338767481
134157176 184956475
367033590 850833012
934914912 394215894
208750600 482166070
292550589 676596916
218401056 775138224
305227649 498683525
335645096 240732787
118621924 455416514
581605243 631709941
727751083 240488283
495387564 605409411
988079007 71524284
132085994 716906753
152875537 635163961
603433143 6482443
919720162 481118423
698489281 770576631
820745628 73824635
261241768 916469933
605112847 192516629
675652496 131737361
576772646 154917358
45588743 815732719
395054227 604724271
898097089 391596982
121023421 941645304
558385108 697056604
33693528 658075846
445791616 846613978
918591358 309507966
461478966 421896124
350142386 619434834
481707118 995341636
624882985 165844964
31196260 13552850
599197668 675949484
422452106 416973528
656646382 229562075
57914418 352630368
804517865 698080488
737547132 78663569
790463686 21202696
286626608 363723801
445724088 779082383
280890297 177058303
160811442 273461829
388453484 835345051
73632124 394711695
185414233 382362556
431738004 381513065
893533005 196692546
214795541 198347005
218585896 692291545
943342828 550795701
699219586 75464848
206853614 720207195
898931918 661037453
933550473 885267358
815808453 577804449
46436092 489914957
862446662 813479989
751271161 97577993
567280642 394638217
974798840 889755369
418442982 355289712
928964092 569969715
863106932 636999891
407634087 238813112
799826546 191610460
560568923 883140631
240024430 261464846
537405402 118539659
339782142 301068388
449839220 36295143
992734153 217353136
405853948 734276267
29998935 963934876
939561756 119705029
698471537 713626311
891813169 60983836
560764259 174862731
268303384 635035234
212829399 26959336
681315952 781897961
856197905 198435862
368814074 846092594
384943003 352077338
199014704 125520964
838009223 409603967
7740075 38128534
139640221 996110719
608704692 383810990
429384768 668992095
814220922 273513522
262248001 281408966
502339250 282916207
647307865 459606828
226984050 602968506
235423107 220942896
156637470 238438653
310391639 244295916
356054558 295830993
408145393 619286738
373050790 297682846
228196453 436610339
998489376 794989724
723932956 565703879
992943391 155863821
15265005 966698290
319860798 577287709
973595988 547901109
837058431 651874040
535263446 672842232
199814525 777806575
52554707 859569652
661002487 733203366
790023877 630848018
973446554 171165619
347611479 815973670
949782677 849419146
982453734 553139107
243486268 772401970
966422951 194781013
124727485 565197398
643531123 608712166
498635249 815627840
906214424 685344416
666084824 132636148
759548797 228399300
576687061 953224339
573233422 234999974
479649450 933502075
907399669 633276554
92023814 771373100
331397345 385883101
126359342 44624185
472948841 880302772
862969413 167933515
456001435 95186915
415639114 437712889
202992518 565211289
690687343 898556048
378560172 874060822
275420980 2951842
393485198 682723305
527874044 770903353
827502444 697152758
149802037 521105699
744116057 857939336
629976830 610853914
702459937 109224048
716276673 196737273
473495294 52709919
611122955 813248689
359326133 429300003
799260913 373001343
963038180 174405699
970794653 29661930
198321228 499282517
689741185 72871642
884344924 908731043
242997516 449288868
454394717 827879207
991406083 257008736
640696243 688602387
376636729 629373257
294341679 946863899
429838677 740809828
794324397 815586486
191451788 619124071
533389781 794577041
688884390 610103581
204146070 250050844
321519214 567399858
688007638 444491569
961308298 765860226
106209665 75288972
445914867 823770144
396632554 11461903
481616166 187861902
616084531 680310597
8977467 548189273
765210878 156694833
892274488 875341425
108818281 963081218
309905435 543428396
275619458 916624363
51322584 996787675
543797183 144202233
922826837 537294561
533651147 985390725
56255294 629460821
239227561 613150275
236254407 17901201
269127239 909394891
430074033 365841635
956888400 804238351
463526837 210553246
509978476 810003016
526785698 623756265
145062974 90200322
570133628 521387614
766944696 875966018
850505295 727129008
242613801 949729527
47965755 265117625
838936370 129253865
696234519 207514288
140304766 994799546
644947112 16557106
142779228 517042666
976052920 973726125
322618876 365812166
567604345 820905914
956339580 110241482
966701531 953584054
148668628 757820832
993997396 190156131
784918640 534204899
471972199 515380703
43023084 515876500
858208130 129638209
203610174 430671765
364960807 173315099
749088289 862022100
506007239 309097138
496819580 617630697
827644633 595613977
151660863 855733312
298774750 906122180
258379995 843297340
409673246 526381174
490895519 670264651
975031525 403275313
692837026 626833477
985569491 592234142
370190233 619154472
167895508 955206330
212385233 298067675
475215154 604115416
487119274 123651315
315128613 623323746
744601457 398403245
287818670 594020336
869220376 123673095
92874317 866984062
440229251 869107377
568170622 619425809
696075790 633251973
428320885 792643532
14930991 738877049
994709189 534737128
336683723 516351009
640276306 611169840
79620840 390593773
802237227 984283965
705935246 933714708
445899587 197656925
925765899 945597476
670108229 574763959
611296264 661326724
502983300 825286835
361709888 722991553
3522767 606774044
251399102 235103662
298101236 712484678
182531805 891957962
715603593 694666670
937446689 745516828
483625735 830832139
302070037 139662799
21142986 964425994
955565817 196428579
800443865 690054559
658287305 330481001
8211847 557467763
205483496 139549968
27553699 450814054
441994143 472377509
227882588 416020509
425372935 368380894
906581386 712593696
119191860 39342720
43917132 564123753
823478933 224047351
368171328 582527199
259374037 313814600
518145821 827480326
482842199 66969173
407056655 9306664
30697479 438310315
632306908 656078861
480876045 909142084
523079596 240776559
57869200 566959104
779553112 106009378
755302915 171809509
623348031 726880986
662364270 50584827
288262317 749583738
352407406 573133055
501890588 233035770
265615175 709246073
64992646 325233924
254572640 875833857
413249984 260933225
610576128 466390623
75938229 63710146
776680090 144573408
73323655 431741400
43180226 671832089
980937697 902119253
735950392 635492716
609148134 813784413
855800568 151015749
744694214 499433361
362329062 628410794
149829674 768424998
799349931 563634108
70789298 191520892
735644597 969272912
168267200 722262072
813627395 301640016
577466340 745028925
579860630 603604685
302285427 998709525
331871970 822412521
517874638 809676232
788137425 988170366
107602960 748668937
120510879 122790761
576481422 731224551
331720880 569036816
571543433 280059879
237129217 154180914
233429000 38525786
138081763 527208225
760735708 743569094
465522591 573868233
526543044 372697394
953212236 358051692
377171012 881817770
146699309 100066416
210162618 525738440
103097493 60583706
398599125 289287251
823701353 728425212
656101739 452402631
539993208 126609311
607021736 494699846
536174795 261788926
735614788 122553766
598553802 314246641
442028744 913972032
939496187 642146113
236703587 926346482
696276601 122119736
466157056 102128705
221536764 485977889
408020135 570214304
151965377 261913128
754697000 678791025
593209272 271130779


Answer:
50

Test case #4
961
530119644 812638978
877100650 489118882
562962347 274480767
136062309 171996890
119339851 99145658
969346914 617368055
939617827 756358654
357885847 113673047
361484857 343256295
458689883 331843988
635609517 82353810
164469520 589024931
450866633 322114802
589140454 199140662
220112244 786298952
990333425 709804465
293877576 274262385
143606866 151472415
556232007 908397427
157256412 704686559
486106327 192523513
662972034 239208743
948062439 108420300
940211639 745270982
728978096 101205324
149586595 203259403
453905045 2534402
956691557 417390107
125473757 888863038
937274947 373600430
231595075 200823597
927920367 694108512
104451728 920194869
471672679 282271275
732409941 932782285
949380841 677624410
885756624 94300365
980421022 106654287
178037936 138553489
832280690 404721729
763339209 763315320
768003242 176849806
577706738 732510611
486240659 825984100
690969475 908058092
716745732 36574428
630982102 797197328
613813406 41796229
899102632 324178827
806081178 144960281
257489116 406277079
776111789 958610411
112859298 944922585
361524103 613120139
197548087 475798974
119563920 522746363
162859638 288250504
20611956 204683909
246895284 718474711
772357158 384768917
436926532 529342850
268451051 246471893
508502606 409143644
732277965 879224974
786478140 889465147
107993871 424962606
809671013 615437618
620352641 187724841
829959426 359256521
130025934 441498080
306749708 248562342
469072049 717643196
612222852 987190396
416931149 628143650
771136798 177217681
613085293 527192981
343088140 966630465
139276657 859780406
279349758 639219624
215069549 669506945
742996074 988834278
536606990 421316944
288466158 137449655
840102741 907494996
907999466 643622554
656128817 830088926
431820540 32611578
951315100 232411585
681677841 387145676
538097847 423423594
779247739 982430386
126104575 316465880
456502025 148939786
655743426 743571859
820658561 335176
306772344 561348069
513253974 178614323
574235665 806936077
508916928 428348512
209748447 983998033
654998923 619299164
454040283 733517990
600577819 506988658
105286813 619527289
675163707 130208571
719946295 828135843
251027869 901453679
272050574 223178565
236641316 8849981
31389605 979353537
249542770 925431784
767457673 540495579
96493299 359025533
693327605 658025150
327260684 105006450
965815492 5009105
809853655 679005770
344451911 641681044
387477722 38809722
342493583 526215583
813948312 229001524
51133500 796235000
976843727 378464039
217818887 381159711
682380470 689701852
89181226 996817226
463974957 520211485
155343531 788255287
746842641 78255587
334806913 667104853
394812483 952076166
683241469 248251878
327602984 625565242
67356495 195045969
159224214 683992901
759871695 418036667
203259290 162094946
480518213 529590297
144124351 944782015
161688166 986045394
163616902 15800928
617017530 376135964
418087572 706536195
268039005 379484649
365133133 139673843
780555748 843775268
833382209 471724065
525724953 670318044
805569812 27998584
693710738 354395082
735271251 510790944
613707840 963525211
360849209 540842441
276060943 56338857
201711177 852077539
407267652 996292271
825865500 813371912
203114763 993529836
601296432 49696998
688439873 15393134
145991117 227877261
648298062 679437314
74649003 954971639
747312606 839494298
67307634 6428615
312966089 236350870
582190392 417559901
693178302 989413733
161592469 352123463
348258653 230429736
439492754 306774827
527858506 816188484
668034619 170913049
844884345 254369658
456501506 822780609
762580110 782549897
480935118 881644369
449810208 592365371
193373620 8527303
833016797 792772137
569510192 79441062
747170626 459592639
34975009 285506535
951221993 497311561
709548769 963760626
398835093 274317050
342293223 823540148
555848659 801154997
744216970 407962859
788420394 726564770
843718114 641171544
756387595 568610851
71597910 660697237
953708896 928079406
993816651 4936673
194390644 552854574
214300828 884438091
822609788 868383441
523978882 271592894
217928472 297272463
754440281 264650168
495398970 190774377
644964346 686853235
90817348 844020959
715976487 563453451
508241174 68439353
921014508 168756308
640506315 513642339
157701585 692512791
679136533 679352700
780487155 171431610
190858333 612214492
156473920 760690215
928062928 735321394
95239260 996364926
35028330 933039037
83605234 237716266
451206661 341143437
955085693 422709921
58458435 898798655
451685589 634931209
172281472 677540494
775324247 399511101
816619925 945652955
700397475 170429368
135467932 399747982
660585714 851333574
781154350 593958788
711965377 284840099
829757083 992420319
478789125 561082851
952408398 239706126
698263208 189121904
76261482 907597349
9208666 855177237
471185951 991648295
321355024 596465345
960375078 247192303
981609671 983172775
604231393 185778643
14997299 349912650
569385938 139340355
818249159 103021948
34674926 731875222
575821318 300634696
467643505 812762586
946628158 808779547
928441653 705985205
747735977 117996761
615526085 942808978
809861061 784492245
121567478 965332355
504023907 321352394
357656905 71317922
843644601 875867436
337090748 170369697
258399996 777422325
176318644 32519749
768966857 906430368
78016126 222212939
746231694 727640723
213035851 36523407
857766051 631829831
692177556 429189447
830049369 989076864
801323475 981335590
251091628 519562913
866344111 843353629
688717711 643785271
803438499 654448254
264329742 13176639
416187709 37303422
475597761 614016319
294173343 596892409
145828271 813049001
583705150 126635162
79411904 235790234
583204771 381387534
314340161 99572339
905590490 247495420
968091071 940042832
389729266 724236057
533802828 662776575
51662835 992557791
363494039 545816263
259642143 798409226
983530170 731000043
720344931 792254000
775299315 51545353
272171985 458157288
522624371 855827701
160992324 213366774
720777368 353088533
379978751 156521638
3095287 130554929
866485280 292975539
612595382 142234963
113543604 112197068
987868985 886213614
325390861 557784496
494991865 200184371
822033213 812605084
129963191 56772173
618432598 641639305
43149279 805372621
984293421 196163993
734865594 372340519
222435555 782039756
61035882 885504374
516457434 662226079
695577236 350862102
289063653 703511181
159402345 729486616
815571899 101821200
617042060 524094828
860693298 997637990
976587304 529777295
576633073 627049154
983895648 75464691
121976592 984781128
515727289 23214164
483723405 361696450
247467707 629283770
388851190 892436949
524948887 340737473
35332721 932602349
131346720 510800560
782568495 210361796
283026064 10699197
319277547 63998893
862992113 143119838
865553454 65218365
465621987 769034935
431758815 28278184
551247544 631889132
990809853 446059996
64763092 788960730
724253289 609017014
453806487 519695197
298107438 294438629
813642189 832041191
599731876 649468034
445318917 72703726
550792641 458360915
904890706 667166641
517460143 899870512
455069031 505298597
845784835 272695047
457988120 385543727
569028558 798716789
736462514 285998149
385820617 302606247
987307581 845593715
897154645 694950110
52397561 270090048
272590368 601374017
105829953 853930409
594051879 635951650
96717040 731170131
279277782 44743065
136906853 760114177
127426780 230536551
1940488 201362083
68862404 448402092
883492451 525936470
834695024 843553501
984380720 895925250
883082094 714539314
358394102 787909479
586723081 191041212
176967649 816819932
578039495 862215345
343802853 385114331
383120000 242336964
213359487 23283517
27607074 828678456
400029331 127623562
903548382 531150601
20629055 524740235
669781389 471404620
36725827 931426222
393744928 705371674
457050992 839080605
872050130 873202730
114713158 683223867
369096971 710231540
844308499 633336839
382937854 997567822
839766877 686100895
809452812 660150738
95494126 309792392
11838349 491886784
881869943 982066049
675429123 644341182
844885421 878049046
292316371 31360716
578909202 993827179
222420019 683680412
253480708 287087368
236631278 455434898
899013828 586450880
861409529 1427789
45790068 696323945
598492324 467524270
12850111 734790128
370443494 421780508
81267003 365470943
892000514 957230287
444475440 699198185
749866777 505701296
905150557 789555680
286798142 277054800
170537007 272797785
898173637 654691763
150542391 458226810
137232888 891561393
787450704 43893236
107688372 435970862
501760205 11044926
576888188 395747687
785307990 797138637
80687380 884329478
471642600 248861050
720765348 542484628
439285608 231768725
989929617 885925288
538922369 586597520
715954663 49673212
528752068 523408963
497611977 245238094
710926198 405149239
469163858 662804989
657660671 896753222
626860608 869388025
290371339 879616130
387429104 989589122
94440140 114377604
340100484 102216638
470499534 2012786
739028098 633797836
40263701 203591626
926568450 786949979
335749224 622056419
381495990 880811084
240223787 72336286
98900327 969484645
336393006 24971106
205219932 165466777
226339106 561280124
924237781 338365943
312154678 365060084
883979494 6353901
189197008 632629088
380779299 215773280
997827266 422229778
997594055 832364442
978998377 756225130
551761550 529086060
633873221 925361415
537812105 782807074
889896003 549228632
773331571 344759204
934194588 275994944
402111080 660476001
465978665 396233375
921018538 248304114
509939027 556004608
444801881 593548418
345119841 390650606
856017248 322604625
815748260 101031155
769596597 139516296
13439868 483767217
826019604 782068880
50391022 92095771
169612905 432308450
721662057 541065002
75852573 605899346
694545032 92111945
292065695 7512248
508912261 872660332
503284308 786928359
947607765 42406783
226416780 142290522
156082931 942374209
511810113 298060168
390612748 918450620
567527234 894804560
655203571 976821409
993833639 584465316
465638942 115657654
148144034 425214944
544649400 529198392
244922897 725405571
983984214 913515588
864646135 227224523
362673422 104736214
148174081 234970974
469376785 402792105
192574532 819468564
951879169 83950571
260209986 572083818
555044886 618356206
571274139 223116998
792361869 249741403
231740598 708297566
244210949 155506139
393109253 382205317
138510835 9397093
943627297 667477100
415559556 51376798
990578133 146305640
578667264 92231738
485664273 444386772
337769449 828631790
758527380 878313289
722743282 696324626
454977031 987476985
757099888 778186542
915034741 510633897
789982806 129893561
485994991 37856465
41550886 578315622
547517073 993740860
403047602 428699959
551431967 826234427
640082880 665519307
572824159 443205348
418383434 27447956
67068363 662525710
328590717 852868781
872365486 20313420
151344641 848593814
269551774 619071585
856926659 701604406
281136993 434365131
880870606 743154428
64425292 175665550
574743386 126298234
446862531 692803049
97497500 512945517
334305198 437383915
632142335 860404143
598354478 390961083
534860444 260862051
444991369 450620502
787696437 524376426
995063066 271586829
275044542 326841069
579743924 283181132
888514137 578370156
225049532 606462308
369360453 438919656
770470876 324046837
138485672 555001025
548042795 970281363
265405321 826734732
982451472 138107034
954056178 605073668
450594055 2900986
69598233 696304065
382570070 687541952
658874804 457329506
465676465 971128284
298981787 148215219
337033678 733384677
787756625 441810485
901386736 132972646
692082304 323400318
620279590 874474032
517565559 570321372
724219659 36179756
853180386 68987938
496020135 731406764
307146246 162089141
815634324 312273423
754807591 328677030
116778973 14586192
643434865 306616528
39717037 253600664
816965186 26225220
919391873 439692288
770316596 695635691
293037839 739762912
474729622 382491307
447975199 59755473
881988509 922805971
672703096 469744481
742387045 224311392
153426734 898072394
646039850 365550497
940570370 807213178
590167754 18362499
586352109 265533209
454312738 880134669
692282839 635990031
914220011 432721182
336016061 959405991
496507441 613269724
256717124 733798821
374497748 357930852
569433406 390946673
616620425 994072908
105970099 9168960
744814956 299561791
501404991 57474063
139595834 614469640
403104243 355499337
139217346 46626022
245515021 342095507
243824963 523530951
837107265 319451813
552026301 32718955
580097136 174202978
442038649 863911921
661338546 69617540
287609668 320534599
870095316 661363416
520398815 862255745
783833476 408498915
821053629 587345259
6013913 844796710
687747332 829601895
73004100 303181424
543026325 363486882
555413356 894354334
592339391 621546354
989084823 225647178
623739064 743660595
388674275 720753491
554665980 809559459
399509443 956233261
146637667 518518834
469858833 680272088
695230693 294631434
345684480 549145166
8668564 817929137
707976952 133625947
518368294 646154612
715904262 692259958
402946048 910927577
201295772 977360473
689368329 532413340
95169782 51383645
600102665 852848372
476268844 132421691
401697945 1593081
140202629 596558769
731133916 511489742
463656076 342015668
210875682 730600121
874827472 380780665
464114061 637652030
477746461 540664071
574093723 974421552
738336611 964336482
259991831 424301504
601817328 32339470
85400467 839922485
818995621 453227727
975807402 177915160
856651004 614988691
297803256 794787955
643867787 153757800
700815425 406265717
516543538 47646753
660821429 684954614
332348471 274602058
9475225 805475905
335089267 850567866
853621517 493253470
782946287 278398871
245119813 92695952
101675972 980933549
732893759 793335874
16915412 151601145
197201429 551000174
34006437 874538090
730954545 188421874
705315280 614789161
852208739 628081226
412074728 148120716
710370283 208929924
262911389 215232324
64046536 865180718
322665240 827697734
67260004 464349336
483588406 501682352
470906621 864075651
684439417 930201311
582910128 139706999
58348167 149266154
773533615 993923250
989663124 427464404
271840207 915728867
745650789 542188262
301721516 654945875
443998556 527396508
649601858 122414049
458887943 633301372
395754119 952518568
431921642 872630530
765591734 593486238
416783447 411993152
941127773 68239353
161293056 341006427
33217785 352485967
935747445 188713301
637945944 87919074
328711460 423872262
551851857 922735047
712889546 997035728
55019177 447343164
92992009 371793491
75899992 672887206
997156669 700924157
519443673 385554381
170527913 257241138
176701270 874692720
218305561 388747248
263122358 170118911
718127812 657237984
704731185 385560078
895623871 601698357
912341451 484707596
973800647 711617355
486020988 284075425
413072210 218403852
942111695 74846768
661422790 715579946
696336342 339480094
383369371 797437178
49083477 487963442
66778193 766712589
699220656 964301258
226693890 248833285
99995234 351453685
260409401 96747757
563799762 860065301
328714780 207285683
767813889 17467414
426975127 337607732
891492724 824579479
967065637 900534079
140680469 170978953
946014194 941256840
557788816 947989794
290522538 233797970
336583204 217716389
379805422 581668307
920516864 797918178
874160574 35898588
283468302 19617616
283068777 637308269
959430508 149883991
267618234 764971457
733476862 469537259
514296732 761906128
97426036 783647076
442543241 878802402
649723521 562869209
116452722 628174452
494209982 335703230
390969230 11096260
379283128 816081446
925591711 218825444
863364911 432101095
226844296 357979892
906947156 311593819
143436300 479907921
150983839 8919397
240499259 847630082
158292653 537223697
26928069 620038317
878828790 483978303
416045975 355237755
767600549 873000559
745783289 699632988
700517420 173399871
574015357 75046692
521698474 611834119
82544191 742887511
160877747 836411096
178210380 617906232
144365872 682223763
15781036 477312250
572936830 420913241
345091320 367763328
888093784 943649983
164560164 539481891
833166299 589573416
